PAGINA ,DESCRIPCION,PRECIO,SUGERIDO,CONTADO,CLAVE
50,356-11 (5 al 10 Enteros) NEGRO,34.12,51.18,32.12,8027932
52,023-25 (5 al 10 Enteros) NEGRO,33.79,50.69,31.79,8027662
52,463-98 (5 al 10 Enteros) CAFÉ,34.12,51.18,32.12,8027932
52,463-97 (5 al 10 Enteros) MIEL,32.58,48.87,30.58,8026592
54,425-09 (5 al 9 Enteros) AZUL MARINO,32.58,48.87,30.58,8026592
54,425-09 (5 al 9 Enteros) ARENA,32.58,48.87,30.58,8026592
54,025-23 (5 al 9 Enteros) CAMEL,32.28,48.42,30.28,8026332
54,654-23 (5 al 10 Enteros) NEGRO,32.58,48.87,30.58,8026592
55,063-21 (5 al 10 Enteros) NEGRO,33.35,50.03,31.35,8027262
55,630-07 (5 al 9 Enteros) CHAROL MAQUILLAJE,32.58,48.87,30.58,8026592
56,491-13 (5 al 10) AZUL MARINO,32.28,48.42,30.28,8026332
56,654-24 (5 al 10 Enteros) NEGRO,30.28,45.42,28.28,8024592
57,063-25 (5 al 10 Enteros) CHAROL MAQUILLAJE,33.35,50.03,31.35,8027262
57,063-23 (5 al 10 Enteros) ROJO,34.88,52.32,32.88,8028592
58,414-61 (5 al 9 Enteros) BLANCO,31.05,46.58,29.05,8025262
58,063-24 (5 al 10 Enteros) NEGRO,34.12,51.18,32.12,8027932
60,369-35 (5 al 10 Enteros) MIEL,32.28,48.42,30.28,8026332
60,459-05 (5 al 10 Enteros) CAFÉ,32.28,48.42,30.28,8026332
60,662-05 (5 al 10 Enteros) NEGRO,31.05,46.58,29.05,8025262
61,375-31 (5 al 10 Enteros) AZUL MARINO,31.82,47.73,29.82,8025932
61,650-25 (5 al 9 Enteros) ORO,31.82,47.73,29.82,8025932
62,773-08 (5 al 10 Enteros) MIEL MULTICOLOR,34.88,52.32,32.88,8028592
62,374-10 (5 al 9 Enteros) BLANCO,30.28,45.42,28.28,8024592
64,013-16 (5 al 9 Enteros) CAMEL,35.65,53.48,33.65,8029262
64,061-31 (5 al 10 Enteros) ORO ROSADO,32.58,48.87,30.58,8026592
64,374-12 (5 al 9 Enteros) AZUL,31.82,47.73,29.82,8025932
64,374-11 (5 al 9 Enteros) ORO,32.58,48.87,30.58,8026592
66,709-05 (5 al 10) NEGRO,34.88,52.32,32.88,8028592
66,410-24 (5 al 10 Enteros) AZUL MARINO,31.49,47.24,29.49,8025662
66,410-24 (5 al 10 Enteros) ROJO,31.49,47.24,29.49,8025662
68,305-57 (5 al 10 Enteros) TAUPE,26.45,39.68,24.45,8021262
68,305-58 (5 al 10 Enteros) NEGRO,26.45,39.68,24.45,8021262
68,305-59 (5 al 10 Enteros) NEGRO,26.45,39.68,24.45,8021262
68,305-59 (5 al 10 Enteros) VINO,26.45,39.68,24.45,8021262
70,021-05 (5 al 9 Enteros) ORO,31.05,46.58,29.05,8025262
70,044-52 (5 al 10 Enteros) NEGRO,30.74,46.11,28.74,8024992
70,044-52 (5 al 10 Enteros) BLANCO,30.74,46.11,28.74,8024992
72,574-02 (5 al 10 Enteros) ORO,25.68,38.52,23.68,8020592
72,574-03 (5 al 10 Enteros) AZUL/MIEL,25.68,38.52,23.68,8020592
72,630-06 (6 al 9 Enteros) AZUL MARINO/ROJO,28.75,43.13,26.75,8023262
72,392-03 (5 al 10 Enteros) ORO,26.89,40.34,24.89,8021662
74,545-11 (5 al 9 Enteros) CAMEL,22.29,33.44,20.29,8017662
74,012-17 (5 al 9 Enteros) NEGRO,21.08,31.62,19.08,8016592
74,012-16 (5 al 9 Enteros) BLANCO,20.78,31.17,18.78,8016332
74,414-57 (5 al 9 Enteros) NEGRO,22.29,33.44,20.29,8017662
76,044-55 (5 al 10 Enteros) BLANCO/ORO,26.45,39.68,24.45,8021262
76,545-10 (5 al 9 Enteros) NEGRO,22.29,33.44,20.29,8017662
76,044-53 (5 al 10 Enteros) ORO,24.15,36.23,22.15,8019262
78,"Six Pack 306 (104-00) (5 al 9 Enteros) vino,negro y nude",47.92,71.88,45.92,6039932
79,Dúo Pack 10 (195-00) (5 al 9 Enteros) antimonio y negro,32.58,48.87,30.58,6026592
79,Dúo Pack 08 (585-00) (5 al 9 Enteros) oro y negro,29.52,44.28,27.52,6023932
80,Dúo Pack 26 (509-00) (5 al 9 Enteros) azul rey y rojo,31.06,46.59,29.06,6025272
80,Dúo Pack 17 (585-03) (5 al 9 Enteros) oro y negro,31.06,46.59,29.06,6025272
82,"Six Pack 300 (104-20) (5 al 9 Enteros) nude,azul marino y rojo",47.92,71.88,45.92,6039932
84,"Six Pack 297 (585-04) (5 al 9 Enteros) negro,café y azul marino",45.62,68.43,43.62,6037932
86,"Six Pack 294 (561-01) (5 al 9 Enteros) gris, morado y negro",52.98,79.47,50.98,6044332
88,"Six Pack 304 (259-03) (5 al 9 Enteros) camel,marino y taupe",47.92,71.88,45.92,6039932
89,Dúo Pack 15 (495-00) (5 al 9 Enteros) negro y rosado,28.44,42.66,26.44,6022992
89,Dúo Pack 23 (024-02) (5 al 9 Enteros) multicolor y azul marino,36.12,54.18,34.12,6029672
90,Dúo Pack 27 (024-06) (5 al 9 Enteros) azul y coral,27.22,40.83,25.22,6021932
90,Dúo Pack 14 (566-06) (5 al 9 Enteros) negro y café,29.98,44.97,27.98,6024332
92,"Six Pack 292 (243-00) (5 al 9 Enteros) bco,fiusha y negro",39.18,58.77,37.18,6032332
94,"Six Pack 298 (243-01) (5 al 9 Enteros) negro,amarillo y fiusha",40.99,61.49,38.99,6033932
96,"Six Pack 301 (566-07) (5 al 9 Enteros) azul marino,rojo y nude",45.62,68.43,43.62,6037932
98,"Six Pack 295 (281-04) (5 al 9 Enteros) aqua,amarillo y rosa",15.72,23.58,13.72,6011932
100,"Six Pack 293 (140-00) (5 al 9 Enteros) azul marino,rojo y camel",57.58,86.37,55.58,6048332
102,"Six Pack 296 (260-00) (5 al 9 Enteros) menta,bugambilia y salmon",57.58,86.37,55.58,6048332
103,Dúo Pack 24 (024-04) (5 al 9 Enteros) negro y maquillaje,31.06,46.59,29.06,6025272
103,Dúo Pack 18 (259-00) (5 al 9 Enteros) oro y negro,33.36,50.04,31.36,6027272
104,Dúo Pack 16 (584-00) (5 al 9 Enteros) marino y café,32.58,48.87,30.58,6026592
104,Dúo Pack 21 (546-00) (5 al 9 Enteros) negro y vino,29.98,44.97,27.98,6024332
106,"Six Pack 302 (062-00) (5 al 9 Enteros) rojo,beige/rosa y oro",46.08,69.12,44.08,6038332
108,"Six Pack 299 (025-25) (5 al 9 Enteros) negro,camel y vino",56.36,84.54,54.36,6047272
109,Dúo Pack 25 (024-03) (5 al 9 Enteros) mairno y mandarina,34.12,51.18,32.12,6027932
109,Dúo Pack 11 (024-00) (5 al 9 Enteros) negro y maquillaje,35.66,53.49,33.66,6029272
110,Dúo Pack 20 (584-02) (5 al 9 Enteros) marino y café,34.12,51.18,32.12,6027932
110,Dúo Pack 13 (160-00) (5 al 9 Enteros) blanco y naranja,35.66,53.49,33.66,6029272
112,"Six Pack 303 (486-00) (5 al 9 Enteros) blanco,negro y fiusha",50.98,76.47,48.98,6042592
113,Dúo Pack 09 (579-08) (5 al 9 Enteros) marino y café,34.88,52.32,32.88,6028592
113,Dúo Pack 12 (112-00) (5 al 9 Enteros) negro y nude,36.42,54.63,34.42,6029932
114,Dúo Pack 19 (526-00) (5 al 9 Enteros) oro y negro,35.66,53.49,33.66,6029272
114,Dúo Pack 22 (566-08) (5 al 9 Enteros) marino y blanco,30.74,46.11,28.74,6024992
